Id,Label,timeset,tweets,retweets,rrt,modularity_class,indegree,outdegree,degree
150,ptinyx,,2,0,0,3,2,0,2
151,pardailhan,,4,0,0,3,3,0,3
152,Piebleu,,17,0,0,5,11,0,11
153,SayyidaAl,,1,0,0,6,1,0,1
154,Midori_marmotte,,2,0,0,0,2,0,2
155,GuinardOceane,,31,0,0,0,25,0,25
156,Ryo_Saeba_fr,,1,0,0,6,1,0,1
157,ZglavMoerman,,13,3,0.230769,7,12,3,15
158,alkz30,,1,0,0,6,1,0,1
159,Praline_addict,,3,0,0,4,3,0,3
160,Chametegal,,2,0,0,7,2,0,2
162,Loiseau007,,2,0,0,7,2,0,2
164,CaroTV04,,10,0,0,7,10,0,10
166,FredMauKarl,,16,0,0,7,14,0,14
167,pascalpetit,,1,0,0,0,1,0,1
168,BSergioa2,,6,0,0,7,5,0,5
169,Rw26440500,,1,0,0,6,1,0,1
170,maikoki,,6,0,0,0,6,0,6
171,ogandril_perso,,2,0,0,0,2,0,2
172,dark_fr3d,,1,0,0,6,1,0,1
173,PatrickLoiselet,,1,0,0,7,1,0,1
174,tenshieve08,,1,0,0,6,1,0,1
175,je__an__ne,,2,0,0,0,2,0,2
176,gombrich75,,1,0,0,6,1,0,1
177,WaterbleyG,,1,0,0,6,1,0,1
178,LesFleursDeMaat,,1,0,0,4,1,0,1
179,GestalaLouise2,,4,2,0.5,7,3,2,5
180,Cochise561,,15,0,0,3,9,0,9
183,Charline59000,,1,0,0,6,1,0,1
184,EliseMiaou77,,23,0,0,7,19,0,19
185,louispsom,,11,0,0,7,10,0,10
186,Leo78815626,,1,0,0,4,1,0,1
187,Swannpok,,26,0,0,7,21,0,21
188,questionstf,,11,650,59.090909,0,6,570,576
189,louve_garou,,1,0,0,0,1,0,1
190,LeMondeDeK6,,24,5,0.208333,0,13,5,18
192,nat777aly,,2,0,0,3,2,0,2
193,jadeline42,,7,0,0,7,6,0,6
194,PomPomCayoti,,2,0,0,0,2,0,2
195,Jacquesghes,,3,0,0,10,3,0,3
196,lambdanaute,,2,0,0,4,2,0,2
197,sweetdisastvr,,2,0,0,0,2,0,2
199,CreationsDaraen,,3,0,0,0,2,0,2
200,GuittetAndre,,2,0,0,9,2,0,2
201,Welldon90621124,,10,0,0,7,10,0,10
202,PimpMyFlamingo,,2,0,0,0,1,0,1
203,FelixToupie2,,3,0,0,6,3,0,3
204,Pmbavenir53,,17,0,0,10,17,0,17
205,egabriot,,4,0,0,0,1,0,1
206,SpritCritique,,1,0,0,0,1,0,1
207,AmerinaVannucci,,1,0,0,7,1,0,1
208,MietteColson,,3,0,0,4,2,0,2
209,coqfight,,3,0,0,10,3,0,3
210,NathalieCahuzac,,1,0,0,6,1,0,1
211,AmbreLeGuilly,,1,0,0,4,1,0,1
212,RhumeVariant,,1,0,0,6,1,0,1
214,Sable_60CH,,3,0,0,0,3,0,3
215,RobertD04816589,,1,0,0,6,1,0,1
216,merlinbreiz,,6,0,0,7,6,0,6
217,GalBMichel,,4,0,0,4,3,0,3
218,fjfpzzu,,6,0,0,0,6,0,6
219,Aude_Leme,,5,1,0.2,0,4,1,5
220,dimnadz,,1,0,0,3,1,0,1
222,MMA_Marignane,,2,0,0,9,2,0,2
223,nikopol37,,2,0,0,7,2,0,2
224,0511ua,,1,0,0,6,1,0,1
225,ArchiMarie,,1,0,0,6,1,0,1
226,mamieyannick,,1,0,0,0,1,0,1
227,JakmilhDaOne,,1,0,0,0,1,0,1
228,rumplekitouit,,1,0,0,0,1,0,1
229,Ladysand2,,1,0,0,6,1,0,1
230,GeorgeP76500486,,17,0,0,7,16,0,16
231,Rennaise2013,,3,0,0,0,3,0,3
232,choariva,,4,0,0,0,4,0,4
233,grizzlieone,,12,0,0,5,10,0,10
234,CrocdeGang,,4,0,0,4,4,0,4
237,YukiNek56432140,,10,0,0,3,10,0,10
238,SophieRobertMUR,,5,0,0,6,1,0,1
239,luisasiluisano,,1,0,0,0,1,0,1
240,thomyat56,,1,0,0,6,1,0,1
242,ozmanalyse,,14,0,0,0,13,0,13
243,p_gauth09,,3,0,0,0,3,0,3
244,DavidLa00397888,,30,0,0,4,25,0,25
246,RegisMamimoue,,1,0,0,6,1,0,1
247,blondiewoolfie,,1,0,0,6,1,0,1
248,LilianeBustos,,1,0,0,6,1,0,1
249,CPhudipapa,,1,0,0,0,1,0,1
250,Taga35651834,,2,0,0,4,2,0,2
251,ImABadSquirrel,,4,0,0,0,3,0,3
252,HouseHaddou,,1,0,0,0,1,0,1
253,JorXzuuut,,6,1,0.166667,0,5,1,6
254,lamirhad,,7,0,0,6,6,0,6
255,Enkiwii,,1,0,0,0,1,0,1
256,NGengba,,1,0,0,6,1,0,1
258,girlsbitesback,,1,0,0,0,1,0,1
259,Pari_menagere,,1,0,0,0,1,0,1
260,mcarplebo,,2,0,0,7,2,0,2
261,Llillithh,,2,0,0,0,2,0,2
262,leroncier,,3,0,0,0,2,0,2
263,ultxviolence,,2,0,0,0,2,0,2
264,Lady_Ewayena,,2,0,0,0,2,0,2
266,GeozzG,,1,0,0,0,1,0,1
268,ClaudeTower,,3,0,0,9,2,0,2
269,OssKx,,1,0,0,0,1,0,1
271,beombby_,,1,0,0,0,1,0,1
