"Label","Id","tweets","retweets","rRT"
"CreationsDaraen",199,3,0,0
"GuittetAndre",200,2,0,0
"Welldon90621124",201,10,0,0
"PimpMyFlamingo",202,2,0,0
"FelixToupie2",203,3,0,0
"Pmbavenir53",204,17,0,0
"egabriot",205,4,0,0
"SpritCritique",206,1,0,0
"AmerinaVannucci",207,1,0,0
"MietteColson",208,3,0,0
"coqfight",209,3,0,0
"NathalieCahuzac",210,1,0,0
"AmbreLeGuilly",211,1,0,0
"RhumeVariant",212,1,0,0
"L1lianore",213,1,0,0
"Sable_60CH",214,3,0,0
"RobertD04816589",215,1,0,0
"merlinbreiz",216,6,0,0
"GalBMichel",217,4,0,0
"fjfpzzu",218,6,0,0
"Aude_Leme",219,5,1,0.2
"dimnadz",220,1,0,0
"MMA_Marignane",222,2,0,0
"nikopol37",223,2,0,0
"0511ua",224,1,0,0
"ArchiMarie",225,1,0,0
"mamieyannick",226,1,0,0
"JakmilhDaOne",227,1,0,0
"rumplekitouit",228,1,0,0
"Ladysand2",229,1,0,0
"GeorgeP76500486",230,17,0,0
"Rennaise2013",231,3,0,0
"choariva",232,4,0,0
"grizzlieone",233,12,0,0
"CrocdeGang",234,4,0,0
"Fato49648182",235,1,0,0
"daruk029",236,1,0,0
"YukiNek56432140",237,10,0,0
"SophieRobertMUR",238,5,0,0
"luisasiluisano",239,1,0,0
"thomyat56",240,1,0,0
"ozmanalyse",242,14,0,0
"p_gauth09",243,3,0,0
"DavidLa00397888",244,30,0,0
"bookerjjn",245,2,0,0
"RegisMamimoue",246,1,0,0
"blondiewoolfie",247,1,0,0
"LilianeBustos",248,1,0,0
"CPhudipapa",249,1,0,0
"Taga35651834",250,2,0,0
"ImABadSquirrel",251,4,0,0
"HouseHaddou",252,1,0,0
"JorXzuuut",253,6,1,0.166666666666667
"lamirhad",254,7,0,0
"Enkiwii",255,1,0,0
"NGengba",256,1,0,0
"girlsbitesback",258,1,0,0
"Pari_menagere",259,1,0,0
"mcarplebo",260,2,0,0
"Llillithh",261,2,0,0
"leroncier",262,3,0,0
"ultxviolence",263,2,0,0
"Lady_Ewayena",264,2,0,0
"eagle5644",265,1,0,0
"GeozzG",266,1,0,0
"ClaudeTower",268,3,0,0
"OssKx",269,1,0,0
"beombby_",271,1,0,0
"valerieCG",272,13,40,3.07692307692308
"jean_citoyen",273,7,0,0
"Sofiane_Adjissa",274,1,0,0
"Catyodalune",275,8,0,0
"AntoineSimonet2",276,1,0,0
"tns15",277,17,0,0
"MariaBadin18",278,7,0,0
"atheesur",279,4,0,0
"Desertup",280,1,0,0
"AireJeux",281,1,0,0
"blalel2",282,1,0,0
"paskalereynaud",283,5,0,0
"dede17_86",284,16,0,0
"mouchni",285,2,0,0
"lagrostA",286,21,0,0
"BottinThierry",287,1,0,0
"JuliaChazottes",288,1,0,0
"onthegrapevine1",289,1,0,0
"celteman",290,2,0,0
"lola_espoir",291,1,0,0
"Charbey007",292,12,0,0
"SolangeBlondea1",293,5,0,0
"Madyy19",294,1,0,0
"Htoh21",295,2,0,0
"CorinneAngeline",296,7,0,0
"holdon24100",297,2,0,0
"WatermolenJona2",298,2,0,0
"BuchetLambotin",299,2,0,0
"vaskrag",300,3,0,0
"VIGOUROUXCathe1",301,1,0,0
"PunchyKaiser",302,1,0,0
"BornetPhilippe",303,2,0,0
"Sybavie",304,7,0,0
"DonDiegoDeLaV8",305,3,0,0
"poulemaccartney",306,1,0,0
"GARNIERseb",308,5,0,0
"XavierGrolet",309,1,0,0
"Anto_SPR",310,1,0,0
"pasdebras",311,1,0,0
"vanmoerkercke3",312,4,0,0
"gaillar41755926",313,1,0,0
"Raghy_lion",314,1,0,0
"JeanErnest12",315,1,0,0
"SillyNepeta",316,3,0,0
"Kryssblht",317,1,0,0
"LMrI1374",318,1,0,0
"MLC6942",319,1,0,0
"AnthonyBressy",320,1,0,0
"ChrissdeParis",321,1,0,0
"Tempete19604477",322,1,0,0
"Snatchering",323,1,0,0
"LaurenceGerona",324,4,0,0
"leColonLibre",325,1,0,0
"theforgotten35",326,1,0,0
"YvesU57",327,1,0,0
"Day5Zero",328,1,0,0
"Fred_Connect",329,4,0,0
"LyvarF",330,1,0,0
"MFolschette",331,4,0,0
"zehammer",332,1,0,0
"clairalors",333,6,0,0
"jerro87",334,2,0,0
"nagou_san",335,2,0,0
"U_Zinu",336,4,0,0
"GDeguin",337,1,0,0
"Renaud_83990",338,4,0,0
"951dm",339,12,0,0
"pochaontassss",340,29,0,0
"8f2c2963a20e419",341,1,0,0
"PodicheL",342,9,0,0
"ANGESBLEU",343,1,0,0
"PlanardJacques",344,5,2,0.4
"jesuisgavroche",345,3,0,0
"bzhresistant",346,1,0,0
"eliott_leclerc_",347,4,0,0
"PorcinetteLouis",348,8,0,0
"Blodwyn_KH69_",349,4,0,0
"GuiheneufMichel",350,2,0,0
"PRUm30919226",351,2,0,0
"goldorakestmort",352,1,0,0
"MrZoulll",353,3,0,0
"Fred62871204",354,6,0,0
"ChapuisFred",355,1,0,0
"AmaclarMarie",356,3,0,0
"ThierryMeignen",357,1,0,0
"charlottefir2",358,2,0,0
"UP_Villeurbanne",359,1,0,0
"criaturairma",360,3,0,0
"CarolM_974",361,2,0,0
"NichoulB",362,8,0,0
"OddoRomanCorinn",363,1,0,0
"OniriCorpe",364,8,0,0
"AlexandraSA89",365,1,0,0
"2036June",366,1,0,0
"herenuii771",367,2,0,0
"SimpleCitoyenne",368,1,0,0
"crowleymass67",369,3,0,0
"Mimine66700",370,14,0,0
"Zubrowskaman",371,3,0,0
"titou267_925",372,1,0,0
"RemiAngeC",373,4,0,0
"MRigalon",374,2,0,0
"Tardigrade840",375,10,0,0
"PierreG79041941",376,1,0,0
"djeleouf",377,1,0,0
"bvtpas",378,4,0,0
"Garparis12",379,10,0,0
"beckerbea1",380,1,0,0
"Hay1Alex",381,3,0,0
"Serge_0002",382,1,0,0
"missteeq60",383,37,0,0
"NSylvia10",384,6,0,0
"tyodrk",385,1,0,0
"lachuteero",386,8,0,0
"MarisseFrance",387,1,0,0
"Napo6Leon",388,4,0,0
"HenryArdisson",389,2,0,0
"AngellycaH",390,1,0,0
"xeff",391,1,0,0
"nraednioa",392,4,0,0
"CAMARAMlissa2",393,1,0,0
"infoLibertaire",394,2,0,0
"laure_lemetayer",395,3,0,0
"LarueCharlus",396,1,0,0
"davidfusil",397,10,0,0
"bounette6565",398,2,0,0
"Pendr3gon",399,1,0,0
"Gioladouille1",401,4,0,0
"jpa_land",403,1,0,0
"DegryseMaxime",404,1,0,0
"Alexan1Thepault",405,2,0,0
"Smela1966",406,1,0,0
"si_2sans38",408,2,0,0
"PierreLouisGar3",409,4,0,0
"ChapuisCamille",411,1,0,0
"chatel_nadine",412,3,0,0
"sean_baillie",413,1,0,0
"odray10",414,1,0,0
"LeGoulu2",415,9,0,0
"Franckylarafale",416,14,0,0
"phv",417,1,0,0
"fannoche",418,1,0,0
"Rickwwesc",419,2,0,0
"BrunaudOdette",420,5,0,0
"Magcaesax",421,1,0,0
"moi_ho",423,1,0,0
"leopolda007",424,1,0,0
"EditionsPR",425,2,0,0
"CaroFrancDesage",426,2,3,1.5
"CaroNovaFBF",427,1,0,0
"MamyleneR",428,2,0,0
"chomel78066335",429,20,1,0.05
"_Melancolica",430,1,0,0
"Sam_du_44",431,1,0,0
"EiffelSyndicat",432,1,0,0
"jiipass",433,3,4,1.33333333333333
"Timeo_Danaos",434,2,0,0
"Aphelar",435,1,0,0
"GmaInno",436,1,0,0
"secondo_iminerx",437,1,0,0
"cb210326",438,4,0,0
"Brennus1980",439,3,0,0
"Moimoi25505827",440,1,0,0
"cayuspocus",441,1,0,0
"PorthosMD",442,7,0,0
"de_gallier",443,6,0,0
"FDudieuzere",444,10,0,0
"Mds928",445,1,0,0
"jgilb48",446,10,0,0
"Axel_deBorda",447,1,0,0
"IsaVeyratMasson",448,1,0,0
"Stannahzer",449,2,0,0
"hadida_ana",450,1,0,0
"MSouich",451,1,0,0
"FranceBod",452,7,0,0
"polobenne",454,3,0,0
"Generations_31",455,2,0,0
"carole_flyn",456,1,0,0
"Fab_M13",457,2,0,0
"JouRomain",458,3,0,0
"nuance_bot",459,3,0,0
"Jeanne20222",460,4,104,26
"Euphrasia99",461,1,0,0
"torr_reor",462,4,0,0
"ActuPensee",463,4,1,0.25
"A_G_D_S_",464,1,0,0
"555_azerty",465,8,0,0
"AnnieGuillerme",466,2,0,0
"Minium2010",467,1,0,0
"francinegfm",468,5,0,0
"achabus",469,3,0,0
"chrichri78",470,4,0,0
"glemaitre3",471,6,1,0.166666666666667
"VictorGThoreau",473,1,0,0
"Albert_H_Tag",474,1,0,0
"Jujube45554012",475,1,0,0
"Mogno3",477,1,0,0
"Mariette_frg",478,2,0,0
"EmmanuelDelor1",479,1,0,0
"VautQueDalle",480,4,0,0
"oukoukes",481,5,0,0
"RekikEmilie",482,2,0,0
"alsveig",483,1,0,0
"Sxwnn_",484,1,0,0
"amael_assour",485,12,0,0
"AnnaelAstan",486,1,0,0
"MarcyChama",487,2,0,0
"BidaultVero1",489,2,2,1
"LeLysdArgent",490,2,0,0
"Dortmunder2022",491,2,0,0
"Soad1802",493,1,0,0
"mpuaud",494,1,0,0
"CHICKASAWS",495,3,0,0
"Dretska",496,1,0,0
"OOnloug",497,7,0,0
"Guitfast",498,1,0,0
"DupontDurantZ",499,7,0,0
"VonneEric",500,3,0,0
"JeanPETRILLI",501,12,1,0.0833333333333333
"MarieBatarec",502,1,0,0
"HugoLeroy87",503,1,0,0
"gnaksonfive",504,1,0,0
"ybutscha",505,1,0,0
"willjeeam",506,1,0,0
"BourbonClemence",507,8,0,0
"IamR1_",508,1,0,0
"memoristic",509,3,0,0
"JeuneNation",510,1,0,0
"SvavaWalkyrie",511,1,0,0
"IsabelleBore",512,2,0,0
"PaulineSpinazze",513,1,0,0
"Thals78842491",514,1,0,0
"pmiailhes",515,4,0,0
"AntonyCartigny",516,1,0,0
"True_eldiez",517,1,0,0
"Vixen23789982",518,1,0,0
"viwitchy",519,2,0,0
"tfsalomon",520,5,41,8.2
"noemie_ghz",521,1,0,0
"iamlrrr13",522,5,0,0
"jean_phi1",523,4,0,0
"sachabrtd",525,1,0,0
"Neron2283",526,1,0,0
"KyokanOtoko",527,2,0,0
"tattoo1519",528,1,0,0
"coyote_bleu",529,1,0,0
"pmarsande",530,1,0,0
"blanchard_oli",531,1,0,0
"Beepop2",532,1,0,0
"Jeanne78033876",533,2,0,0
"sandrousseau",534,2,19,9.5
"BrownDavidos",535,1,0,0
"sylvain_durac",536,1,0,0
"FlorianneFritz",537,1,0,0
"lau_enby",538,2,0,0
"themislamisse",539,1,0,0
"ajoint52",540,2,0,0
"sofdegre",541,1,0,0
"ours_z",542,6,0,0
"mleeut",543,1,0,0
"AnneJosnin",544,1,0,0
"FrenchTransGal",545,8,0,0
"Marme_elade",546,3,5,1.66666666666667
"SalamecheFC",547,1,0,0
"cambhoedian",548,1,0,0
"KatePichot",549,2,0,0
"LMICHPL",550,1,0,0
"victor17822104",551,1,0,0
"Painting_Ventus",552,2,0,0
"corde_dominique",553,3,0,0
"Sandylili66",554,25,0,0
"undefin15445393",555,4,0,0
"emmanuelleHaile",556,2,0,0
"WePartyAllNight",557,2,0,0
"JJ_Jarjanette",558,2,0,0
"CroiseFranco",559,4,0,0
"DaDeaf",560,4,0,0
"Gunon399421055",561,2,0,0
"Micheli19179565",562,1,0,0
"sbsalome",563,1,0,0
"AloisDuPerigord",564,1,0,0
"scoubibio",565,4,0,0
"DenisBRoth",569,1,0,0
"Apldin",570,4,0,0
"parislivreur",571,3,0,0
"Clara13179650",572,1,0,0
"bobby1009",573,1,0,0
"draphousse2",574,1,0,0
"59630_de",575,8,0,0
"AllanicFabian",576,3,0,0
"CasseGonades",577,3,0,0
"Majorum1200",578,2,0,0
"HtStephane",579,1,0,0
"Gerpedit",580,1,0,0
"7506patrickb",581,1,0,0
"uglymmortal",582,1,0,0
"JLeroy59",583,1,0,0
"Pall911",584,1,0,0
"Fernand77331229",585,1,0,0
"KurtLaffreuxped",586,2,0,0
"olitier1",587,1,0,0
"Gassem23366017",588,1,0,0
"grn_matthieu",589,1,0,0
"AnnBel48985176",591,1,0,0
"felicie_po",592,1,0,0
"FranckInnocenti",593,17,0,0
"cptmighty",594,1,0,0
"TomassiFlo93",595,3,0,0
"Jocelyne29270",596,2,0,0
"MPMX92",597,9,0,0
"suprateg",598,2,0,0
"MtzHerve",599,1,0,0
"LMPT57",600,2,0,0
"Djame_",601,2,0,0
"MmeLinconnue",602,2,0,0
"LoloNivaggioli",603,1,0,0
"Roboam18",604,1,0,0
"joachimesque",605,11,0,0
"PhilippeDervaux",606,2,0,0
"SweetSumo",607,5,0,0
"BmNanou",608,1,0,0
"equiinoxes_",610,1,0,0
"edira2",611,6,0,0
"ricochepas3317",612,1,0,0
"paineythier",613,1,0,0
"JJBergerac",614,1,0,0
"poupoupidu",615,1,0,0
"Sharkoux",617,20,32,1.6
"garitey",619,1,0,0
"_Stephan1881",620,1,0,0
"creugdong",621,1,0,0
