"Label","date","Id","modularity_class","outdegree"
"jssakicool",2022-08-24 10:47:22,865,"Militant·e·s féministes et LGBTQIA+",0
"Chloecstasy",2022-08-24 10:48:02,864,"Militant·e·s féministes et LGBTQIA+",0
"anon67777",2022-08-24 10:48:50,862,"Droite réactionnaire",0
"PokerFaceBis",2022-08-24 10:52:24,855,"Alt-right",0
"titiller",2022-08-24 10:55:31,852,"Droite réactionnaire",0
"Scrogneugneu6",2022-08-24 10:56:05,851,"Droite réactionnaire",0
"LibertadMarta",2022-08-24 10:56:18,850,"Droite réactionnaire",0
"colette_fnt",2022-08-24 10:56:25,849,"Droite réactionnaire",0
"LeeLoo2022",2022-08-24 10:56:59,846,"Droite réactionnaire",0
"Tropflexalex",2022-08-24 10:57:09,845,"Militant·e·s féministes et LGBTQIA+",0
"LanguedocRous13",2022-08-24 10:57:15,843,"Droite réactionnaire",0
"MarylineCourto1",2022-08-24 10:58:39,839,"Droite réactionnaire",0
"zetwitty",2022-08-24 11:00:02,835,"Personnalités et groupes de gauche",0
"ClaessensLieve",2022-08-24 11:00:14,834,"Droite réactionnaire",0
"DominiqueJEANT4",2022-08-24 11:01:08,832,"Extrême-droite",0
"chloevollmerlo",2022-08-24 11:01:29,831,"Militant·e·s féministes et LGBTQIA+",0
"Blackat24",2022-08-24 11:01:45,830,"Droite réactionnaire",0
"_lexity9_",2022-08-24 11:01:58,829,"Militant·e·s féministes et LGBTQIA+",0
"BrunoLantrin",2022-08-24 11:02:09,828,"Droite réactionnaire",0
"gthglm",2022-08-24 11:02:19,827,"Militant·e·s féministes et LGBTQIA+",0
"CalamityRose",2022-08-24 11:02:32,826,"Droite réactionnaire",0
"PlaisantKather1",2022-08-24 11:03:40,822,"Droite réactionnaire",0
"Eurowl_",2022-08-24 11:06:11,816,"Militant·e·s féministes et LGBTQIA+",0
"lioneldcro",2022-08-24 11:06:53,814,"Alt-right",0
"James44679846",2022-08-24 11:07:30,812,"Droite réactionnaire",0
"BenoitMorency",2022-08-24 11:08:01,811,"Droite réactionnaire",0
"SoneAlyah",2022-08-24 11:08:16,810,"Militant·e·s féministes et LGBTQIA+",0
"LeaMrtte",2022-08-24 11:08:18,809,"Militant·e·s féministes et LGBTQIA+",0
"mp_picard",2022-08-24 11:10:05,804,"Personnalités et groupes de gauche",0
"Flingueur3",2022-08-24 11:10:05,805,"Droite réactionnaire",0
"AngeVedasun",2022-08-24 11:10:14,803,"Droite réactionnaire",0
"oeil_critique",2022-08-24 11:10:55,799,"Droite réactionnaire",0
"boufik",2022-08-24 11:11:06,798,"Militant·e·s féministes et LGBTQIA+",0
"ThomPico",2022-08-24 11:11:35,797,"Militant·e·s féministes et LGBTQIA+",0
"patrirobp",2022-08-24 11:12:38,792,"Droite réactionnaire",0
"Faber_J_",2022-08-24 11:12:52,789,"Droite réactionnaire",0
"TheFrenchBased",2022-08-24 11:13:10,787,"Extrême-droite",0
"kristalrichy",2022-08-24 11:13:38,784,"Droite réactionnaire",0
"papedelenclave",2022-08-24 11:14:00,783,"Droite réactionnaire",0
"Charlot68169015",2022-08-24 11:14:47,781,"Droite réactionnaire",0
"Pauline_Arrighi",2022-08-24 11:17:03,774,"Droite réactionnaire",0
"PlacentLaurent",2022-08-24 11:17:25,773,"Droite réactionnaire",0
"AlainDucasse9",2022-08-24 11:18:20,772,"Droite réactionnaire",0
"gt63sssssssss",2022-08-24 11:19:09,769,"Extrême-droite",0
"karlaschrey",2022-08-24 11:19:11,768,"Militant·e·s féministes et LGBTQIA+",0
"JirsikovaM",2022-08-24 11:20:03,767,"Militant·e·s féministes et LGBTQIA+",0
"sefi0912",2022-08-24 11:20:38,754,"Droite réactionnaire",0
"BornetPhilippe",2022-08-24 11:21:10,303,"Droite réactionnaire",0
"doctanguy87",2022-08-24 11:21:15,755,"Centre",0
"carcajoute",2022-08-24 11:23:02,750,"Droite réactionnaire",0
"renaut_elsa",2022-08-24 11:23:28,748,"Personnalités et groupes de gauche",0
"sabihnou",2022-08-24 11:24:07,746,"Droite réactionnaire",0
"Aganax30",2022-08-24 11:25:49,737,"Droite réactionnaire",0
"80_dots",2022-08-24 11:27:43,730,"Droite réactionnaire",0
